Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
57,1.6989,1.9214,0.0468,13.2030,-1.7902,1.1177,-1.1979,2.7108,-1.1979,4.8086,1.8878,-0.0683,0.0994,0.1166,-0.3596,-0.1412
58,0.9642,0.2159,0.1359,13.1583,-0.2130,1.3434,-0.0447,1.5772,-0.0447,4.6262,-0.1616,-0.0740,-0.0721,0.0146,0.2841,-0.0423
59,1.1737,0.3793,0.0383,13.5239,1.5179,1.4783,0.3656,1.7309,0.3656,3.0705,-0.2013,0.2244,-0.0659,0.0067,-0.1398,-0.1387
60,1.9879,1.4188,0.1904,12.2702,3.7756,1.5191,-1.2537,2.2577,-1.2537,2.7515,-1.2413,-0.2348,0.2853,-0.1892,-0.3169,0.0736
61,0.2171,1.1492,0.1928,11.1106,4.5005,1.7972,-1.1596,0.7249,-1.1596,3.4216,-1.7484,0.0838,-0.1431,0.0047,-0.7308,-0.1442
62,0.0061,1.9051,0.0479,9.3513,3.8792,1.9254,-1.7593,-0.6213,-1.7593,4.7945,0.4621,-0.4160,-0.5221,-0.1017,-0.2639,-0.1764
63,0.0593,0.3160,0.1512,9.4198,3.2613,2.2333,0.0685,-0.6179,0.0685,3.9974,-3.8601,-0.0907,0.0670,-0.1402,0.4142,0.1116
64,1.6902,1.9444,0.1820,6.8822,4.0986,2.3918,-2.5376,0.8373,-2.5376,3.0615,-0.6371,-0.1449,-0.3368,0.1138,0.4165,0.1122
65,1.3268,1.9238,0.1453,4.5833,3.6546,2.4969,-2.2989,-0.4440,-2.2989,3.1881,0.6554,-0.0304,-0.0696,-0.0928,-0.1736,-0.0514
66,1.7160,1.2381,0.1492,2.7547,3.5763,2.5230,-1.8286,-0.0784,-1.8286,1.5124,0.2279,-0.0650,-0.5394,-0.1762,0.5618,-0.1008
67,1.8948,0.2407,0.1925,1.0394,4.7023,2.6434,-1.7153,1.1260,-1.7153,0.9202,-3.6639,0.0290,0.3240,0.0317,0.1006,0.1464
68,1.5006,0.3357,0.1367,-1.2329,5.5682,2.7252,-2.2722,0.8659,-2.2722,3.1687,-3.3530,0.0081,0.3113,0.1042,0.0678,-0.0787
69,0.8013,1.6313,0.0144,-2.3953,4.0067,2.7364,-1.1624,-1.5615,-1.1624,4.0537,-2.6371,0.0232,0.0268,-0.0306,0.1405,0.0612
70,0.4322,0.7684,0.1700,-3.0981,3.9199,2.9024,-0.7028,-0.0868,-0.7028,4.0451,-2.9263,0.0559,0.4775,0.1511,0.6004,-0.0424
