Step,u_k_x,u_k_y,u_k_theta,x,y,theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
49,1.9197,0.3093,0.1992,26.3029,-1.6825,1.3296,0.5680,1.8150,0.5680,1.4741,-0.5723,-0.0097,0.1127,0.0128,0.2694,-0.0472
50,0.1960,0.9943,0.1100,25.4340,-1.3300,1.4895,-0.8689,0.3525,-0.8689,2.1500,-1.0723,0.1000,-0.5356,0.2484,-0.3351,-0.0575
51,0.6792,1.8827,0.1464,23.7053,-0.5295,1.7178,-1.7288,0.8006,-1.7288,3.7357,-1.8088,-0.1166,0.2223,0.1569,-0.2320,0.0056
52,0.3154,1.7768,0.1585,21.8319,-0.4880,1.8711,-1.8734,0.0414,-1.8734,3.7556,0.2512,0.3498,-0.7590,-0.0310,-0.2414,0.0366
53,1.6104,0.8663,0.1853,20.4883,0.7343,2.0389,-1.3436,1.2224,-1.3436,2.1492,-0.1554,-0.1627,0.1370,-0.2232,0.0466,0.0484
54,1.9642,0.8137,0.0460,18.9737,2.0640,2.0008,-1.5146,1.3297,-1.5146,4.8667,0.7130,0.6426,0.1055,-0.1829,0.3203,0.0174
55,0.4818,1.8395,0.0916,17.0556,1.6410,2.1326,-1.9181,-0.4230,-1.9181,3.5718,0.2817,-0.4181,-0.5676,0.0966,-0.0516,0.0073
56,1.0894,1.8074,0.1838,14.9407,1.6233,2.3074,-2.1149,-0.0177,-2.1149,2.4152,-0.6177,0.4682,-0.0693,-0.0060,0.1317,0.0212
57,0.7474,1.7185,0.0881,13.2549,0.9720,2.3826,-1.6858,-0.6513,-1.6858,3.2125,-1.1150,0.2951,-0.4406,0.0584,-0.3235,0.1498
58,0.5897,1.1471,0.0213,11.9091,0.5369,2.3369,-1.3458,-0.4351,-1.3458,4.3757,-1.4398,-0.0121,0.2490,0.0549,0.2795,0.1147
59,0.2828,0.5950,0.0781,11.2944,0.2699,2.3893,-0.6148,-0.2670,-0.6148,4.5950,-4.7841,0.2411,-0.3608,-0.0898,0.0883,0.1111
60,1.0941,0.2063,0.1559,10.2608,0.9016,2.5403,-1.0335,0.6317,-1.0335,4.4974,-4.6788,-0.1825,-0.0631,-0.1315,-0.2232,-0.0629
61,1.1327,0.9222,0.0743,8.7935,0.8790,2.7093,-1.4673,-0.0225,-1.4673,3.7601,-4.4783,0.5374,-0.0616,-0.1948,-0.3020,0.1259
62,0.0601,0.1625,0.1007,8.6902,0.8289,2.9016,-0.1033,-0.0501,-0.1033,3.6774,-4.5653,-0.1968,-0.1042,-0.0035,-0.4746,-0.0260
63,0.7529,1.9839,0.0609,7.4974,-1.0129,2.9595,-1.1928,-1.8418,-1.1928,1.9446,-4.2068,-0.5038,0.3581,0.1373,-0.1384,0.0625
64,0.6502,1.8173,0.1641,6.4329,-2.6886,-3.1132,-1.0645,-1.6757,-1.0645,1.5878,2.9569,0.4794,-0.1387,0.1443,0.1787,-0.0316
65,0.4286,0.3363,0.1032,5.9444,-2.9847,-3.1060,-0.4885,-0.2961,-0.4885,2.0191,3.2399,0.1766,-0.2724,-0.0185,-0.2226,-0.0276
66,1.8155,1.1330,0.1391,4.0909,-4.1619,-2.9892,-1.8535,-1.1772,-1.8535,4.0079,3.4011,0.0208,-0.1698,-0.1921,0.0991,0.1668
67,1.7473,1.2225,0.1328,2.6324,-5.6274,-2.8868,-1.4586,-1.4655,-1.4586,4.0511,2.3576,0.0906,0.1314,0.1514,-0.3937,0.0574
68,1.1117,1.0539,0.1574,1.7540,-6.9119,-2.7502,-0.8784,-1.2845,-0.8784,4.4973,2.6085,-0.2918,0.0356,0.0284,-0.2518,0.1045
69,1.4410,0.5941,0.0169,0.5628,-7.9573,-2.7982,-1.1911,-1.0454,-1.1911,2.5638,3.1551,-0.0826,0.0277,-0.1332,-0.8041,0.2005
70,1.7192,0.4443,0.0832,-1.0056,-8.9306,-2.7345,-1.5684,-0.9732,-1.5684,4.2996,3.1930,-0.2226,-0.0660,-0.2865,0.3222,-0.0809
71,0.4958,0.3349,0.1782,-1.3967,-9.4043,-2.4852,-0.3911,-0.4738,-0.3911,4.9806,2.8840,0.3329,0.0708,0.0379,-0.1537,-0.0557
72,1.5518,0.7595,0.0846,-2.1799,-11.0156,-2.4818,-0.7833,-1.6113,-0.7833,2.2665,3.1293,0.1328,0.4835,-0.0044,0.6891,0.0504
73,0.8371,0.9266,0.1073,-2.1902,-12.2999,-2.3927,-0.0103,-1.2843,-0.0103,3.2025,3.2701,-0.0376,0.2259,-0.0330,-0.1842,-0.0280
74,1.1830,1.8571,0.1527,-1.8606,-14.5274,-2.1947,0.3296,-2.2275,0.3296,4.3155,4.0475,0.5231,0.5327,0.1162,-0.2076,0.0425
75,0.9317,1.6661,0.0369,-0.9777,-16.2942,-2.1874,0.8829,-1.7668,0.8829,4.2548,0.6982,-0.0833,-0.3116,-0.1496,-0.3507,-0.0890
76,0.6536,0.3180,0.0785,-1.1225,-17.1006,-2.1052,-0.1448,-0.8064,-0.1448,3.5513,0.5132,0.0938,-0.3895,-0.1287,-0.4322,-0.1256
77,1.4652,0.7403,0.1400,-1.2461,-18.7739,-2.0173,-0.1236,-1.6733,-0.1236,1.7867,0.6297,0.2159,0.4651,0.0904,-0.1639,-0.0426
78,1.8070,1.6798,0.0807,-0.5909,-21.0803,-2.0164,0.6552,-2.3063,0.6552,4.6706,-0.5232,0.0217,0.0769,0.1433,-0.0271,-0.0736
79,1.0201,0.9780,0.1549,-0.2059,-22.3568,-1.9402,0.3850,-1.2765,0.3850,4.5880,-0.9489,-0.6096,-0.1011,-0.1137,-0.0655,0.1452
80,0.8498,0.8938,0.0523,0.3442,-23.5671,-1.8254,0.5502,-1.2103,0.5502,4.8491,-1.3202,-0.0380,0.7307,0.0833,-0.4882,0.0929
81,1.2677,0.3376,0.1071,0.3304,-24.7713,-1.7204,-0.0139,-1.2042,-0.0139,4.8035,4.5797,-0.4280,-0.0200,-0.0242,0.0854,0.1867
82,0.5941,0.7467,0.0360,0.8927,-25.3956,-1.7313,0.5624,-0.6243,0.5624,4.1470,-0.2506,0.3966,0.4566,-0.0695,0.3399,-0.2057
83,0.4862,1.4789,0.0520,2.1873,-26.0563,-1.5795,1.2946,-0.6607,1.2946,4.2433,-0.8450,-0.0103,0.0092,0.0453,0.6090,-0.1203
84,0.8601,0.4019,0.1968,2.6272,-26.8270,-1.4334,0.4399,-0.7707,0.4399,4.5107,-0.5825,-0.3185,0.2417,-0.0559,-0.0460,-0.1465
85,1.3550,0.2151,0.1704,2.9839,-28.2135,-1.3359,0.3567,-1.3866,0.3567,3.3574,-0.8918,0.2665,-0.1009,-0.0422,0.8881,-0.0046
86,1.3609,1.1749,0.1199,4.3779,-29.2443,-1.2319,1.3940,-1.0308,1.3940,3.7897,-1.3752,0.0362,-0.2727,-0.1419,-0.4095,0.0295
87,0.2510,1.2529,0.1733,5.5709,-29.0390,-1.1548,1.1930,0.2053,1.1930,4.0045,1.8783,-0.1318,0.4017,-0.0732,-0.4366,0.1871
88,0.5737,0.4855,0.1538,6.2657,-29.4398,-0.9455,0.6949,-0.4008,0.6949,4.9352,1.3050,0.0263,-0.2733,-0.0736,-0.2228,0.0026
89,1.8924,1.8442,0.1535,8.8296,-29.9621,-0.7033,2.5638,-0.5223,2.5638,3.0108,1.4977,0.4209,-0.1979,-0.0055,-0.2220,0.0037
90,1.6264,0.4420,0.0019,10.3830,-30.7422,-0.6181,1.5535,-0.7801,1.5535,2.9994,2.0062,-0.3959,-0.1691,-0.0081,-0.3721,-0.0567
91,1.2722,1.5363,0.0475,12.3299,-30.2260,-0.5487,1.9469,0.5162,1.9469,3.7966,0.9081,-0.2290,-0.0122,-0.0592,0.3282,0.0943
92,0.6784,1.9273,0.0112,13.9983,-28.9036,-0.5686,1.6684,1.3224,1.6684,2.0202,0.4892,-0.0435,0.0643,0.1852,-0.1901,0.0783
93,0.6080,1.3526,0.0291,15.1852,-28.1244,-0.4898,1.1869,0.7792,1.1869,1.2712,-0.3424,-0.2804,-0.4639,-0.0960,-0.0569,-0.0017
94,1.4418,1.4725,0.1271,17.2293,-27.5656,-0.3835,2.0441,0.5588,2.0441,1.8341,-1.9570,-0.1217,0.3395,-0.1904,-0.4524,-0.0290
95,1.6415,1.0983,0.1558,19.1299,-27.2291,-0.1451,1.9006,0.3365,1.9006,3.5295,-2.5233,-0.2968,-0.3897,0.1009,0.1027,-0.1646
96,1.4357,1.6973,0.0306,20.7691,-25.6869,-0.0466,1.6391,1.5422,1.6391,1.6369,-2.6783,-0.2278,0.5914,-0.0934,0.3128,-0.0613
97,1.9361,1.2348,0.0539,22.8473,-24.6165,0.0722,2.0782,1.0705,2.0782,3.4203,0.0640,0.5072,0.4425,-0.1510,-0.2713,0.1331
98,0.8284,1.1260,0.0823,23.6072,-23.5041,0.1297,0.7600,1.1124,0.7600,2.7388,-0.4865,-0.2877,0.3207,-0.1221,-0.2707,0.0423
99,0.6611,0.0214,0.1860,24.3219,-23.3308,0.3160,0.7146,0.1733,0.7146,2.2325,-0.7047,0.3024,0.0543,-0.0102,-0.0491,-0.0571
100,1.4647,0.9631,0.1293,25.4537,-21.9587,0.3831,1.1318,1.3721,1.1318,2.4886,-1.6365,0.3793,-0.4408,-0.1065,0.2249,0.0234
101,1.0831,1.5679,0.0281,25.8482,-20.0080,0.3523,0.3945,1.9506,0.3945,4.3784,-1.8844,-0.3385,0.0232,-0.0014,-0.5554,0.0397
102,0.9219,1.8708,0.0199,26.0025,-17.8565,0.4372,0.1543,2.1516,0.1543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,0.3088,1.7471,0.1766,25.5116,-16.1067,0.5394,-0.4910,1.7498,-0.4910,3.6996,1.7666,0.1518,-0.0362,-0.1517,-0.0471,-0.0397
104,1.3592,0.6799,0.0088,26.2358,-14.7666,0.6284,0.7243,1.3401,0.7243,3.4325,2.2485,-0.3050,0.2447,0.1186,0.8272,-0.0218
105,0.5406,0.3878,0.1552,26.4707,-14.1086,0.8069,0.2349,0.6580,0.2349,3.6297,2.1214,-0.0240,-0.2868,0.0225,0.1639,0.1550
106,1.1320,1.3410,0.0697,26.2821,-12.2932,0.9081,-0.1887,1.8154,-0.1887,3.5954,-3.6761,-0.2742,-0.1710,0.0687,0.2208,0.0712
107,1.2767,0.4981,0.1399,26.6887,-10.8801,1.0943,0.4066,1.4131,0.4066,4.6082,-3.5195,0.2911,-0.3532,-0.0789,-0.4646,0.0382
108,0.4125,0.6594,0.1336,26.2678,-10.1383,1.1601,-0.4209,0.7418,-0.4209,4.2744,1.3325,0.2433,-0.1081,-0.1273,-0.0782,0.0117
109,0.5744,1.0995,0.1938,25.5622,-9.1243,1.4064,-0.7056,1.0140,-0.7056,3.2785,1.3668,0.0960,0.3376,0.0413,-0.2056,-0.1907
110,0.9203,1.6666,0.1657,24.0109,-7.9911,1.5862,-1.5513,1.1332,-1.5513,1.4802,1.5211,0.2464,0.2386,-0.0279,0.7663,-0.2017
111,0.2341,0.9932,0.0709,23.1129,-7.8460,1.6063,-0.8980,0.1450,-0.8980,0.5368,1.4008,-0.3841,0.1729,-0.1019,0.0333,0.0740
112,1.1865,1.1836,0.0313,21.9350,-6.7191,1.5659,-1.1778,1.1269,-1.1778,1.3137,-2.5706,0.4944,-0.6282,0.0027,-0.0460,-0.0620
113,1.9092,1.1163,0.0055,20.8718,-4.8037,1.5051,-1.0632,1.9154,-1.0632,3.3960,-2.4601,-0.2253,0.0671,-0.0915,-0.0283,-0.2009
114,0.2833,1.6435,0.1471,19.1930,-4.4142,1.6314,-1.6788,0.3895,-1.6788,4.8698,-2.3810,0.1652,-0.6185,-0.0128,0.5624,0.0400
115,1.7135,1.9848,0.1959,17.0589,-2.7808,1.7633,-2.1341,1.6334,-2.1341,3.6111,-3.7444,0.0973,0.0557,-0.0307,0.5505,-0.0140
116,1.0195,0.7637,0.0978,16.0488,-1.9985,1.7719,-1.0101,0.7823,-1.0101,4.1369,-3.4873,-0.3820,0.2767,0.0857,-0.1774,0.0661
117,1.5749,0.5710,0.0883,15.2136,-0.5478,1.7625,-0.8352,1.4507,-0.8352,4.5953,-0.0512,0.5980,-0.1757,0.0058,0.3455,-0.1109
118,1.6175,1.2764,0.0998,13.5762,0.8732,1.9511,-1.6374,1.4210,-1.6374,3.3129,-0.6283,-0.5540,-0.2067,0.0352,-0.2010,-0.1851
119,0.9838,0.6421,0.1581,12.6841,1.5084,2.1065,-0.8921,0.6352,-0.8921,3.0769,-1.2263,0.2567,-0.4523,0.0887,0.0449,0.0490
