Step,u_k_x,u_k_y,u_k_theta,relative_X,relative_Y,relative_Theta,Obs_dist,Obs_tetha,Covariance_X,Covariance_Y,Covariance_Theta,Covariance_dis,Covariance_angle
89,-0.0242,-0.4147,-0.0113,0.0452,-0.9965,0.0948,3.5871,1.6107,-0.0033,-0.4828,0.0153,0.2749,-0.0451
90,-0.9353,0.6474,0.0272,-0.6422,-0.1423,-0.0394,3.1906,1.4423,-0.1459,-0.4494,0.1277,-0.1438,0.0777
91,0.6510,-0.3419,0.0935,0.8961,0.5299,0.1088,4.0017,1.8049,0.0649,0.1354,0.1466,0.1266,0.1112
92,-0.6260,-0.6730,0.0981,0.1584,-0.6487,0.1129,4.3354,1.6464,0.2868,-0.1447,-0.0146,0.4965,-0.1395
93,-0.2274,0.2030,0.0457,-0.4231,-0.0231,0.0181,3.9487,1.5424,-0.0419,-0.0130,0.0093,0.5244,0.1029
94,-0.1099,-0.2433,0.0029,-0.3030,-0.2091,-0.0722,3.5735,1.2689,0.1920,0.3925,-0.0785,-0.0394,0.1879
95,-0.6851,0.5066,-0.0494,-0.8836,0.1725,-0.0047,2.8549,1.1745,-0.3905,-0.3044,0.0713,0.4673,0.0444
96,0.2840,0.2419,0.0197,0.1749,0.6515,0.1839,2.6385,1.1317,0.1122,0.2245,0.0575,0.0272,-0.0124
97,0.5094,0.0699,0.0674,0.4429,0.2425,0.0831,2.8130,1.4275,0.2142,-0.1724,-0.0808,-0.2963,0.0819
98,0.1502,-0.3958,-0.0701,0.9079,-0.0505,-0.1090,3.3834,1.6095,0.2620,0.0976,-0.1880,0.1173,-0.0833
99,0.8483,0.1081,-0.0468,0.1135,1.2306,-0.0925,2.9462,2.0787,0.1057,-0.1696,0.0956,0.2493,-0.0181
100,-0.7192,-0.7876,-0.0772,-0.1306,-0.9311,0.0881,2.9490,1.7693,0.0570,0.0904,0.1416,0.2951,0.0298
101,-0.8956,0.5187,0.0920,-0.9735,-0.7850,0.3144,2.9778,1.0863,-0.6315,-0.1135,-0.0657,-0.3005,-0.0484
102,-0.3891,-0.4616,-0.0710,0.3766,0.0181,0.1190,3.2587,0.8405,0.0745,0.2281,0.0919,-0.0056,0.0032
103,0.1807,0.9397,-0.0580,-1.4361,0.3592,0.0868,2.0869,0.4663,0.1936,-0.5086,0.0047,0.1750,0.0999
104,-0.8261,0.1630,0.0794,-0.0465,-0.6615,0.0001,3.2868,0.2242,0.6805,0.6847,0.0132,0.1332,-0.0647
105,-0.0360,-0.4590,0.0538,0.2806,0.0160,0.1508,2.4519,0.2861,-0.0852,0.1524,0.1683,0.1109,-0.0660
106,0.8821,-0.3480,0.0427,0.3858,1.2465,-0.0237,2.3400,0.7548,0.1849,0.1481,-0.0064,0.2357,-0.0657
107,0.6280,0.7587,0.0210,-1.0196,0.9417,-0.0834,0.5363,0.8632,0.1057,0.2957,-0.0111,0.2741,0.0753
108,-0.6573,-0.3459,0.0999,0.1092,-0.8558,0.0798,1.8260,0.2457,0.2423,-0.3897,-0.0706,0.1289,-0.1118
109,-0.9507,-0.0073,-0.0208,-0.1755,-1.0673,0.0040,2.1095,0.0367,-0.1166,-0.0007,-0.1028,-0.1275,0.0661
110,0.4978,-0.8139,0.0954,0.8330,0.8447,0.2224,1.4085,0.4736,-0.1158,0.1293,-0.0524,0.3131,-0.0595
111,-0.2819,-0.4488,-0.0053,0.5404,0.1469,-0.0199,2.2017,0.7022,0.6368,0.5557,0.0843,-0.2204,-0.0530
112,0.1285,-0.1629,-0.0119,0.4621,-0.2350,0.0456,3.0529,0.8819,-0.3370,0.6216,0.0375,0.0906,0.0124
113,0.9753,-0.3180,-0.0405,0.1138,1.2020,0.0300,1.9421,1.0880,0.3863,-0.2161,-0.0386,0.1780,-0.1620
114,-0.5186,0.0167,0.0620,0.4074,-0.2593,0.0007,2.5282,0.9071,-0.0337,0.1898,-0.0007,0.2198,0.0839
115,-0.5658,-0.8144,-0.0462,0.1354,-0.7985,-0.0165,3.6972,0.6830,0.1794,-0.0947,-0.0080,-0.0877,-0.0842
116,-0.9753,0.1200,-0.0909,0.3807,-1.3916,-0.2579,4.7862,0.8660,0.0633,-0.2289,-0.0645,0.4490,0.0973
117,0.8842,-0.9967,-0.0402,0.8671,0.1957,-0.1085,5.0404,1.0766,0.3381,0.1517,-0.0307,0.5398,-0.0733
118,0.8894,0.0071,-0.0205,0.6045,1.0863,0.0058,3.2582,-1.3243,-0.1781,0.0923,0.0277,-0.0599,-0.0271
119,-0.8161,0.8939,-0.0329,-1.3464,-0.4549,-0.0412,4.1403,1.0742,0.1979,0.3129,-0.0790,0.1342,-0.2649
120,0.6509,-0.3852,0.0037,0.1312,0.9346,-0.0714,3.4853,1.3436,0.1154,0.2023,-0.0110,0.6542,0.0070
121,0.3218,-0.7648,0.0915,0.9065,0.3064,0.0538,4.1875,1.4959,-0.1157,0.0501,-0.1362,-0.2821,-0.0830
122,-0.6896,-0.4196,0.0621,0.0287,-0.9377,-0.1894,4.4690,1.5647,-0.7423,0.0480,-0.1349,-0.2032,0.0062
123,-0.1052,-0.4733,-0.0002,0.2529,-0.2740,0.0975,3.4994,-1.0762,0.2258,0.1631,0.1238,0.1421,-0.0218
124,-0.8939,0.1817,-0.0194,-0.3175,-0.6624,-0.0976,3.5993,-0.8647,0.0164,-0.0031,-0.0541,-0.1309,-0.0916
125,0.4207,0.5400,-0.0831,-0.6671,0.2837,0.0296,4.6283,1.4187,0.2447,-0.0109,-0.0065,-0.0251,0.0756
126,-0.6166,0.2079,-0.0323,0.4429,-0.2022,-0.0050,4.8380,1.2922,0.0396,0.0388,-0.0295,-0.0312,-0.0403
127,0.4640,-0.0631,0.0412,-0.2378,0.6712,-0.1340,4.3356,1.4568,0.0516,-0.0644,-0.1944,0.0477,-0.0358
128,-0.0157,0.8471,-0.0344,-1.4278,0.5886,0.0586,2.7673,1.3461,0.1761,-0.0424,0.0886,0.2319,-0.0350
129,-0.5034,-0.4121,0.0092,0.5173,-0.4279,0.2027,4.1313,1.0540,-0.1028,0.4353,-0.0186,-0.2603,0.0401
130,-0.4982,0.9349,-0.0136,-0.5679,-0.0274,-0.0146,3.0603,1.2562,-0.0876,-0.1033,-0.0184,-0.5044,-0.1457
131,0.2509,-0.3784,0.0762,0.9872,0.1050,-0.0900,4.0631,1.3087,0.2180,0.1291,0.1730,-0.0445,-0.1389
132,0.2856,0.8168,0.0957,-0.6416,0.7029,0.2370,2.9133,1.3016,-0.5198,0.1885,0.2862,0.2910,0.0963
133,-0.5821,0.5517,0.0166,-0.1018,-0.5323,0.0132,3.6472,1.0934,-0.0122,0.0794,-0.1947,0.6030,-0.0437
134,0.4310,-0.0091,-0.0934,-0.1289,0.8247,-0.0189,2.5467,1.3686,0.1830,0.2210,-0.0637,-0.0452,-0.0157
135,0.6211,-0.2211,-0.0684,-0.3475,1.2138,-0.2048,2.2894,-4.2323,-0.2690,-0.3024,0.0360,-0.4674,0.0509
136,-0.3554,-0.1834,-0.0381,0.7205,-0.5248,-0.0203,2.9895,1.8710,0.0447,-0.2799,0.0716,-0.1882,-0.1921
137,0.8731,0.9224,-0.0748,-1.1060,0.9182,0.0222,2.0102,-4.1110,-0.5554,0.2730,0.0800,0.1745,-0.0917
138,-0.5996,-0.1277,-0.0719,0.1514,-0.5758,-0.0273,2.1204,-4.5003,-0.0779,-0.0632,0.2483,0.3943,0.0343
